小韻號,藤田條目號,韻目原貌,音韻地位,代表字,反切上字,反切下字,反切上字-又,反切下字-又,直音,反切上字地位,反切下字地位,反切上字地位-又,反切下字地位-又,對應廣韻小韻號,兩家差異注釋,代表字釋義,代表字釋義-又（又 = 李永富資料之與前一列不同者）
49,348,鍾,以三鍾平,容,餘,封,,,,以開三魚平,幫三C鍾平,,,50,,餘封反.十四.,
50,371,鍾,幫三C鍾平,封,府,容,,,,幫三C虞上,以三鍾平,,,51,,府容反.二.,
51,374,鍾,曉三C鍾平,胷,許,容,,,,曉開三C魚上,以三鍾平,,,52,,許容反.七.,
52,382,鍾,疑三C鍾平,顒,魚,容,,,,疑開三C魚平,以三鍾平,,,53,,魚容反.三.,
53,385,鍾,影三C鍾平,邕,扵,容,,,,影開三C魚平,以三鍾平,,,54,,扵容反.十一.,
54,397,鍾,孃三鍾平,醲,女,容,,,,孃開三魚上,以三鍾平,,,55,,厚酒.女容反.三.,厚酒.女容反.四.
55,402,鍾,澄三鍾平,重,治,容,,,,澄開三之平,以三鍾平,,,56,,治容反.二.,
56,408,鍾,從三鍾平,從,疾,容,,,,從開三真入,以三鍾平,,,57,,疾容反.一.,
57,411,鍾,徹三鍾平,蹱,丑,凶,,,,徹三尤上,曉三C鍾平,,,58,,躘蹱.丑凶反.二.,
58,415,鍾,並三C鍾平,逄,符,容,,,,並三C虞平,以三鍾平,,,59,,符容反.三.,
59,421,鍾,滂三C鍾平,峯,敷,容,,,,滂三C虞平,以三鍾平,,,60,,敷容反.九.,
60,433,鍾,精三鍾平,縱,即,容,,,,精開三蒸入,以三鍾平,,,61,,〻横.即容反.又子用反.三.,縱横.即容反.又子用反.三.
61,439,鍾,日三鍾平,茸,而,容,,,,日開三之平,以三鍾平,,,62,,草生㒵.而容反.五.,草生皃.而容反.五.
62,447,鍾,羣三C鍾平,蛩,渠,容,,,,羣開三C魚平,以三鍾平,,,63,,〻〻.渠容反.六.,蛩蛩.渠容反.六.
63,461,鍾,常三鍾平,鱅,蜀,容,,,,常三鍾入,以三鍾平,,,64,,魚名.蜀容反.二.,
64,466,江,見二江平,江,古,雙,,,,見一模上,生二江平,,,69,,古雙反.五.,
65,473,江,明二江平,庬,莫,江,,,,明一唐入,見二江平,,,70,,厚大.莫江反.六.,
66,485,江,孃二江平,𦗳,女,江,,,,孃開三魚上,見二江平,,,71,,耳中聲.女江反.二.,
67,489,江,初二江平,窓,楚,江,,,,初開三魚上,見二江平,,,72,,楚江反.三.,
68,495,江,幫二江平,邦,博,江,,,,幫一唐入,見二江平,,,73,,博江反.一.,
69,497,江,匣二江平,栙,下,江,,,,匣開二麻上,見二江平,,,74,,〻䉶帆.下江反.四.,栙䉶帆.下江反.四.
70,502,江,滂二江平,胮,匹,江,,,,滂三A真入,見二江平,,,75,,〻脹.匹江反.二.,胮脹.匹江反.二.
71,505,江,來二江平,瀧,吕,江,,,,來開三魚上,見二江平,,,76,,南人名湍.吕江反.一.,
72,506,江,生二江平,雙,所,江,,,,生開三魚上,見二江平,,,77,,所江反.四.,
73,511,江,並二江平,龐,薄,江,,,,並一唐入,見二江平,,,78,,薄江反.二.,
74,514,江,曉二江平,肛,許,江,,,,曉開三C魚上,見二江平,,,79,,許江反.一.,
75,517,江,溪二江平,腔,苦,江,,,,溪一模上,見二江平,,,81,,羊腔.苦江反.五.,
76,523,江,澄二江平,幢,宅,江,,,,澄開二庚入,見二江平,,,82,,旛幢.宅江反.三.,
77,526,江,徹二江平,憃,丑,江,,,,徹三尤上,見二江平,,,83,,愚.丑江反.又丑龍丑用二反.二.,
78,528,江,知二江平,樁,都,江,,,,端一模平,見二江平,,,84,,橛.都江反.一.,
79,529,支,章開三支平,支,章,移,,,,章開三陽平,以開三支平,,,87,,章移反.九.,
80,549,支,以開三支平,移,弋,支,,,,以開三蒸入,章開三支平,,,88,,弋支反.十.,
81,576,支,云合三B支平,爲,薳,支,,,,云合三B支上,章開三支平,,,89,,薳支反.又薳偽反.二.,薳支反.又薳僞反.二.
82,580,支,見合三B支平,嬀,居,為,,,,見開三C魚平,云合三B支平,,,90,,姓.居為反.一.,
83,583,支,曉合三B支平,麾,許,為,,,,曉開三C魚上,云合三B支平,,,91,,許為反.三.,
84,588,支,影合三B支平,逶,扵,為,,,,影開三C魚平,云合三B支平,,,92,,扵為反.五.,
85,598,支,明三B支平,糜,靡,為,,,,明三B支上,云合三B支平,,,93,,〻粥.靡為反.四.,糜粥.靡為反.四.
86,608,支,曉合三A支平,隳,許,規,,,,曉開三C魚上,見合三A支平,,,94,,毀.許規反.三.,
87,614,支,澄合三支平,鬌,直,垂,,,,澄開三蒸入,常合三支平,,,95,,髮落.直垂反.二.,
88,617,支,常合三支平,垂,是,為,,,,常開三支上,云合三B支平,,,96,,是為反.三.,
89,624,支,來合三支平,羸,力,為,,,,來開三蒸入,云合三B支平,,,97,,力為反.一.,
90,625,支,昌合三支平,吹,昌,為,,,,昌開三陽平,云合三B支平,,,98,,昌為反.又尺偽反.二.,昌為反.又尺僞反.二.
91,628,支,滂三B支平,鈹,敷,羈,普,,,滂三C虞平,見開三B支平,滂一模上,,99,,敷羈反.五.,普羈反.五.
92,636,支,幫三B支平,陂,彼,為,,,,幫三B支上,云合三B支平,,,100,,彼為反.四.,
93,645,支,邪合三支平,隨,旬,為,,,,邪合三真平,云合三B支平,,,101,,旬為反.二.,
94,649,支,溪合三B支平,虧,去,為,,,,溪開三C魚去,云合三B支平,,,102,,去為反.一.,去為反.◇.
95,651,支,溪合三A支平,闚,去,隨,,,,溪開三C魚去,邪合三支平,,,103,,去隨反.一.,
96,652,支,羣開三B支平,竒,渠,羈,,,,羣開三C魚平,見開三B支平,,,104,,渠羈反.又居冝反.六.,渠羈反.又居宜反.六.
97,663,支,羣開三A支平,祇,巨,支,,,,羣開三C魚上,章開三支平,,,105,,地神.巨支反.九.,
98,682,支,曉開三B支平,犧,許,羈,,,,曉開三C魚上,見開三B支平,,,106,,許羈反.八.,
99,697,支,溪開三B支平,㩻,去,竒,,,,溪開三C魚去,羣開三B支平,,,107,,不正.去竒反.四.,
100,710,支,疑開三B支平,冝,魚,羈,,,,疑開三C魚平,見開三B支平,,,108,,魚羈反.五.,
101,716,支,並三B支平,皮,符,羈,,,,並三C虞平,見開三B支平,,,109,,符羈反.三.,
102,722,支,常開三支平,提,是,支,,,,常開三支上,章開三支平,,,110,,飛.是支反.又𦯔泥反.三.,飛.是支反.又弟泥反.三.
103,733,支,日開三支平,兒,汝,移,,,,日開三魚上,以開三支平,,,111,,汝移反.一.,
104,734,支,來開三支平,離,吕,移,,,,來開三魚上,以開三支平,,,112,,吕移反.十三.,
105,764,支,從開三支平,疵,疾,移,,,,從開三真入,以開三支平,,,113,,疾移反.三.,
106,774,支,精開三支平,貲,即,移,,,,精開三蒸入,以開三支平,,,114,,〻財.即移反.七.,貲財.即移反.七.
107,791,支,見開三B支平,羈,居,冝,,,,見開三C魚平,疑開三B支平,,,115,,馬絡頭.居冝反.五.,
108,799,支,幫三A支平,卑,府,移,,,,幫三C虞上,以開三支平,,,116,,府移反.五.,
109,810,支,並三A支平,陴,符,支,,,,並三C虞平,章開三支平,,,117,,城上女牆.符支反.五.,
110,818,支,書開三支平,絁,式,支,,,,書開三蒸入,章開三支平,,,118,,繒似布.式支反.三.,
