小韻號,藤田條目號,韻目原貌,音韻地位,代表字,反切上字,反切下字,反切上字-又,反切下字-又,直音,反切上字地位,反切下字地位,反切上字地位-又,反切下字地位-又,對應廣韻小韻號,兩家差異注釋,代表字釋義,代表字釋義-又（又 = 李永富資料之與前一列不同者）
674,4840,歌,影合一歌平,倭,烏,和,,,,影一模平,匣合一歌平,,,755,,東海中女王囯.烏和反.二.,東海中女王國.烏和反.二.
675,4844,歌,清開一歌平,蹉,七,何,,,,清開三真入,匣開一歌平,,,726,,跌.七何反.四.,
676,4851,歌,端開一歌平,多,得,何,,,,端開一登入,匣開一歌平,,,727,,得何反.一.,
677,4854,歌,心開一歌平,娑,素,何,,,,心一模去,匣開一歌平,,,728,,婆娑.素何反.三.,
678,4857,歌,並一歌平,婆,薄,波,,,,並一唐入,幫一歌平,,,743,,薄波反.三.,
679,4861,歌,明一歌平,摩,莫,波,,,,明一唐入,幫一歌平,,,745,,研.莫波反.五.,
680,4869,歌,定開一歌平,駞,徒,何,,,,定一模平,匣開一歌平,,,729,,駱駞.徒何反.八.,
681,4887,歌,從開一歌平,醝,昨,何,,,,從開一唐入,匣開一歌平,,,730,,白酒.昨何反.八.,
682,4902,歌,疑開一歌平,莪,五,歌,,哥,,疑一模上,見開一歌平,,,731,,草名似䔑蒿.五歌反.八.,草名似䔑蒿.五哥反.八.
683,4913,歌,透開一歌平,他,託,何,,,,透開一唐入,匣開一歌平,,,732,,託何反.三.,
684,4917,歌,來開一歌平,羅,盧,何,,,,來一模平,匣開一歌平,,,733,,盧何反.三.,
685,4924,歌,泥開一歌平,那,諾,何,,,,泥開一唐入,匣開一歌平,,,734,,何.又朝𨚗縣在安㝎.諾何反.五.,何.又朝那縣在安定.諾何反.五.
686,4932,歌,匣開一歌平,何,胡,歌,,,,匣一模平,見開一歌平,,,735,,胡歌反.四.,
687,4939,歌,曉開一歌平,訶,虎,何,,,,曉一模上,匣開一歌平,,,736,,責.虎何反.㦯作呵.二.,責.虎何反.或作呵.二.
688,4944,歌,幫一歌平,波,博,何,,河,,幫一唐入,匣開一歌平,,,751,,博何反.四.,博河反.四.
689,4949,歌,滂一歌平,頗,滂,何,,河,,滂一唐平,匣開一歌平,,,752,,滂何反.二.,滂河反.二.
690,4952,歌,溪開一歌平,珂,苦,何,,,,溪一模上,匣開一歌平,,,737,,苦何反.二.,
691,4955,歌,影開一歌平,阿,烏,何,,,,影一模平,匣開一歌平,,,738,,烏何反.三.,
692,4962,歌,透合一歌平,𧦭,吐,和,,何,,透一模上,匣合一歌平,,匣開一歌平,748,,欺.吐和反.二.,欺.吐何反.二.
693,4966,歌,泥合一歌平,挼,奴,和,,何,,泥一模平,匣合一歌平,,匣開一歌平,750,,〻莏.奴和反.一.,挼莏.奴何反.一.
694,4967,歌,定合一歌平,牠,徒,和,,何,,定一模平,匣合一歌平,,匣開一歌平,744,,牛無角.徒和反.一.,牛無角.徒何反.一.
695,4970,歌,曉合三C歌平,鞾,,,,,無反語,,,,,756,,〻鞋.無反語.一.,鞾鞋.無反語.一.
696,4972,歌,端合一歌平,𨹃,丁,戈,,,,端開四青平,見合一歌平,,,741,,小堆.丁戈反.一.,
697,4977,歌,羣開三C歌平,伽,,,,,無反語，噱之平聲,,,,,759,藤田無此小韻,無反語噱之平聲.一.,
698,4987,麻,明二麻平,麻,莫,霞,,,,明一唐入,匣開二麻平,,,766,,莫霞反.三.,
699,4992,麻,昌開三麻平,車,昌,遮,,,,昌開三陽平,章開三麻平,,,767,,昌遮反.二.,
700,4994,麻,書開三麻平,奢,式,車,,,,書開三蒸入,昌開三麻平,,,768,,〻侈.式車反.二.,奢侈.式車反.二.
701,4997,麻,以開三麻平,邪,以,遮,,,,以開三之上,章開三麻平,,,769,,琅耶郡名.以遮反.六.,琅邪郡名.以遮反.六.
702,5007,麻,章開三麻平,遮,止,奢,,,,章開三之上,書開三麻平,,,770,,断.止奢反.二.,斷.止奢反.二.
703,5010,麻,精開三麻平,嗟,子,邪,,,,精開三之上,以開三麻平,,,771,,子邪反.二.,
704,5018,麻,船開三麻平,虵,食,遮,,,,船開三蒸入,章開三麻平,,,772,,毒䖝.食遮反.一.,毒蟲.食遮反.一.
705,5020,麻,匣合二麻平,華,戸,花,,,,匣一模上,曉合二麻平,,,773,,戸花反.五.,
706,5027,麻,見合二麻平,瓜,古,華,,,,見一模上,匣合二麻平,,,774,,古華反.四.,
707,5033,麻,曉合二麻平,花,呼,瓜,,,,曉一模平,見合二麻平,,,775,,呼瓜反.二.,
708,5035,麻,溪合二麻平,誇,苦,瓜,,,,溪一模上,見合二麻平,,,776,,大言.苦瓜反.二.,
709,5042,麻,孃開二麻平,拏,女,加,,,,孃開三魚上,見開二麻平,,,777,,牽.女加反.三.,
710,5049,麻,見開二麻平,嘉,古,牙,,,,見一模上,疑開二麻平,,,778,,古牙反.十五.,
711,5070,麻,匣開二麻平,遐,胡,加,,,,匣一模平,見開二麻平,,,779,,逺.胡加反.九.,去.胡加反.九.
712,5082,麻,滂二麻平,葩,普,巴,,,,滂一模上,幫二麻平,,,780,,草花白.普巴反.一.,
713,5084,麻,影開二麻平,鵶,烏,加,焉,,,影一模平,見開二麻平,影開三B仙平,,781,,烏別名.烏加反.三.,烏別名.焉加反.三.
714,5088,麻,幫二麻平,巴,伯,加,,,,幫二庚入,見開二麻平,,,782,,伯加反.五.,
715,5094,麻,初開二麻平,义,初,牙,,,,初開三魚平,疑開二麻平,,,783,,交.初牙反.一.,
716,5101,麻,生開二麻平,砂,所,加,,,,生開三魚上,見開二麻平,,,784,,〻石.所加反.六.,砂石.所加反.六.
717,5108,麻,疑開二麻平,牙,五,加,,,,疑一模上,見開二麻平,,,785,,五加反.四.,
718,5113,麻,莊開二麻平,樝,側,加,,,,莊開三蒸入,見開二麻平,,,786,,似梨而酢.側加反.四.,似梨而醋.側加反.四.
719,5122,麻,澄開二麻平,𡨀,宅,加,,,,澄開二庚入,見開二麻平,,,787,,㝞𡨀.宅加反.五.,
720,5135,麻,邪開三麻平,衺,似,嗟,,,,邪開三之上,精開三麻平,,,788,,不正.㦯作斜.似嗟反.二.,不正.或作斜.似嗟反.二.
721,5139,麻,常開三麻平,闍,視,奢,,,,常開三脂上,書開三麻平,,,789,,闉闍城上重門.視奢反.又徳胡反.一.,闉闍城上重門.視奢反.又德胡反.一.
722,5142,麻,影合二麻平,窊,烏,瓜,焉,,,影一模平,見合二麻平,影開三B仙平,,790,,凹.烏瓜反.二.,凹.焉瓜反.二.
723,5144,麻,莊合二麻平,髽,莊,華,,,,莊開三陽平,匣合二麻平,,,791,,婦人喪冠.莊華反.一.,
724,5145,麻,知合二麻平,檛,陟,瓜,,,,知開三蒸入,見合二麻平,,,792,,打.陟瓜反.一.,
725,5147,麻,並二麻平,爬,蒲,巴,,,,並一模平,幫二麻平,,,793,,搔.㦯作把.蒲巴反.三.,搔.或作把.蒲巴反.三.
726,5150,麻,崇開二麻平,楂,鋤,加,,,,崇開三魚平,見開二麻平,,,794,,水中木.㦯作槎.鋤加反.二.,水中木.或作槎.鋤加反.二.
727,5154,麻,徹開二麻平,侘,勑,加,,,,徹開三蒸入,見開二麻平,,,795,,〻傺失意㒵.勑加反.一.,侘傺失意皃.勑加反.一.
728,5156,麻,知開二麻平,奓,陟,加,,,,知開三蒸入,見開二麻平,,,796,,張.陟加反.三.,
729,5163,麻,曉開二麻平,煆,許,加,,,,曉開三C魚上,見開二麻平,,,797,,火氣猛.許加反.又呼嫁反.二.,
730,5168,麻,溪開二麻平,䶗,客,加,,,,溪開二庚入,見開二麻平,,,798,,齧.客加反.一.,
731,5174,覃,定開一覃平,覃,徒,含,,,,定一模平,匣開一覃平,,,1072,,徒含反.十二.,
732,5189,覃,清開一覃平,參,倉,含,,,,清開一唐平,匣開一覃平,,,1073,,倉含反.四.,
733,5193,覃,泥開一覃平,南,那,含,,,,泥開一歌平,匣開一覃平,,,1074,,那含反.三.,
734,5200,覃,影開一覃平,諳,烏,含,,,,影一模平,匣開一覃平,,,1075,,記憶.烏含反.六.,
735,5211,覃,匣開一覃平,含,胡,男,,,,匣一模平,泥開一覃平,,,1076,,胡男反.六.,
736,5233,覃,來開一覃平,婪,盧,含,,,,來一模平,匣開一覃平,,,1077,,貪.㦯作惏.盧含反.四.,貪.或作惏.盧含反.四.
737,5237,覃,透開一覃平,貪,他,含,,,,透開一歌平,匣開一覃平,,,1080,,他含反.二.,貪婪.他含反.二.
738,5239,覃,精開一覃平,簪,作,含,,,,精開一唐入,匣開一覃平,,,1079,,作含反.又側岑反.三.,
739,5247,覃,從開一覃平,蠶,昨,含,,,,從開一唐入,匣開一覃平,,,1078,,昨含反.二.,
740,5250,覃,端開一覃平,躭,丁,含,,,,端開四青平,匣開一覃平,,,1081,,丁含反.五.,
741,5258,覃,溪開一覃平,龕,口,含,,,,溪一侯上,匣開一覃平,,,1082,,塔.一曰龍㒵.口含反.五.,塔.一曰龍皃.口含反.五.
742,5266,覃,曉開一覃平,㟏,火,含,,,,曉合一歌上,匣開一覃平,,,1083,,大谷.火含反.三.,
743,5272,覃,心開一覃平,毿,蘇,含,,,,心一模平,匣開一覃平,,,1084,,毛長.蘇含反.一.,
744,5275,覃,見開一覃平,弇,古,南,,,,見一模上,泥開一覃平,,,1085,,古南反.後漢有耿弇.又𨚗含反.三.,古南反.後漢有耿弇.又那含反.三.
745,5283,談,定開一談平,談,徒,甘,,,,定一模平,見開一談平,,,1087,,徒甘反.六.,
746,5291,談,見開一談平,甘,古,三,,,,見一模上,心開一談平,,,1088,,古三反.五.,
747,5297,談,端開一談平,擔,都,甘,,,,端一模平,見開一談平,,,1089,,〻負.都甘反.三.,擔負.都甘反.三.
748,5302,談,心開一談平,三,蘇,甘,,,,心一模平,見開一談平,,,1090,,蘇甘反.二.,
749,5305,談,來開一談平,藍,盧,甘,,,,來一模平,見開一談平,,,1091,,染草.盧甘反.六.,
750,5316,談,溪開一談平,坩,苦,甘,,,,溪一模上,見開一談平,,,1092,,〻甒.苦甘反.甒字無甫反.一.,坩甒.苦甘反.一.
751,5317,談,透開一談平,䑙,他,酣,,,,透開一歌平,匣開一談平,,,1093,,吐舌.他酣反.三.,
752,5323,談,從開一談平,慙,昨,甘,,,,從開一唐入,見開一談平,,,1094,,昨甘反.二.,
753,5327,談,匣開一談平,酣,胡,甘,,,,匣一模平,見開一談平,,,1095,,胡甘反.三.,酣飲.胡甘反.三.
754,5334,談,明一談平,姏,武,酣,,,,明三C虞上,匣開一談平,,,1096,,老女稱.武酣反.一.,
755,5335,談,精開一談平,𩈻,作,三,,,,精開一唐入,心開一談平,,,1097,,長面.作三反.一.,
756,5336,談,曉開一談平,蚶,火,談,,,,曉合一歌上,定開一談平,,,1098,,蚌属出會稽.火談反.三.,蚌屬出會稽.火談反.三.
757,5341,陽,以開三陽平,陽,与,章,,,,以開三魚上,章開三陽平,,,805,,与章反.十三.,
758,5369,陽,邪開三陽平,詳,似,羊,,,,邪開三之上,以開三陽平,,,806,,審.似羊反.又詳狂.以章反.五.,
759,5376,陽,來開三陽平,良,吕,張,,,,來開三魚上,知開三陽平,,,807,,吕張反.十.,
760,5393,陽,曉開三C陽平,香,許,良,,,,曉開三C魚上,來開三陽平,,,808,,許良反.三.,
761,5398,陽,書開三陽平,商,書,羊,,,,書開三魚平,以開三陽平,,,809,,書羊反.九.,
762,5414,陽,並三C陽平,房,符,方,,,,並三C虞平,幫三C陽平,,,810,,符方反.三.,
763,5418,陽,章開三陽平,章,諸,良,,,,章開三魚平,來開三陽平,,,811,,諸良反.九.,
764,5430,陽,昌開三陽平,昌,處,良,,,,昌開三魚上,來開三陽平,,,812,,處良反.五.,
765,5437,陽,溪開三C陽平,羌,去,良,,,,溪開三C魚去,來開三陽平,,,813,,發語端.去良反.三.,
766,5440,陽,見開三C陽平,薑,居,良,,,,見開三C魚平,來開三陽平,,,814,,菜名.居良反.十.,
767,5453,陽,澄開三陽平,長,直,良,,,,澄開三蒸入,來開三陽平,,,815,,直良反.五.,
768,5461,陽,知開三陽平,張,陟,良,,,,知開三蒸入,來開三陽平,,,816,,陟良反.三.,
769,5464,陽,日開三陽平,穰,汝,陽,,,,日開三魚上,以開三陽平,,,817,,禾莖.汝陽反.九.,
770,5479,陽,幫三C陽平,方,府,良,,,,幫三C虞上,來開三陽平,,,818,,府良反.八.,
771,5490,陽,心開三陽平,襄,息,良,,,,心開三蒸入,來開三陽平,,,819,,息良反.九.,
772,5503,陽,精開三陽平,將,即,良,,,,精開三蒸入,來開三陽平,,,820,,即良反.五.,
773,5509,陽,初開三陽平,瘡,楚,良,,,,初開三魚上,來開三陽平,,,821,,痍.楚良反.一.,
774,5511,陽,明三C陽平,亡,武,方,,,,明三C虞上,幫三C陽平,,,822,,武方反.十.,武方反.九.
775,5523,陽,孃開三陽平,孃,女,良,,,,孃開三魚上,來開三陽平,,,823,,女良反.二.,
776,5527,陽,崇開三陽平,床,士,莊,,,,崇開三之上,莊開三陽平,,,824,,簀.士莊反.一.,簀.士莊反.俗作床.一.
777,5530,陽,莊開三陽平,莊,側,羊,,,,莊開三蒸入,以開三陽平,,,825,,側羊反.三.,
778,5534,陽,常開三陽平,常,時,羊,,,,常開三之平,以開三陽平,,,826,,時羊反.五.,時羊反.六.
779,5541,陽,生開三陽平,霜,所,良,,,,生開三魚上,來開三陽平,,,827,,所良反.四.,
780,5545,陽,從開三陽平,牆,疾,良,,,,從開三真入,來開三陽平,,,828,,垣牆.疾良反.五.,
781,5552,陽,清開三陽平,鏘,七,將,,,,清開三真入,精開三陽平,,,829,,鏗鏘.七將反.七.,
782,5565,陽,溪合三C陽平,匡,去,王,,,,溪開三C魚去,云合三C陽平,,,830,,去王反.八.,
783,5576,陽,云合三C陽平,王,雨,方,,,,云合三C虞上,幫三C陽平,,,831,,雨方反.一.,
784,5578,陽,影開三C陽平,央,扵,良,,,,影開三C魚平,來開三陽平,,,832,,扵良反.六.,
785,5585,陽,羣開三C陽平,強,巨,良,,,,羣開三C魚上,來開三陽平,,,833,,巨良反.四.,
786,5589,陽,徹開三陽平,𦳝,褚,羊,,,,徹開三魚上,以開三陽平,,,834,,草名.褚羊反.三.,
787,5592,陽,滂三C陽平,芳,敷,方,,,,滂三C虞平,幫三C陽平,,,835,,敷方反.二.,
788,5595,陽,羣合三C陽平,狂,渠,王,,,,羣開三C魚平,云合三C陽平,,,836,,病.渠王反.二.,
789,5598,唐,定開一唐平,唐,徒,郎,,,,定一模平,來開一唐平,,,837,,徒郎反.十五.,
790,5630,唐,來開一唐平,郎,魯,當,,,,來一模上,端開一唐平,,,838,,魯當反.廿.,魯當反.二十.
791,5654,唐,端開一唐平,當,都,郎,,,,端一模平,來開一唐平,,,839,,都郎反.六.,
792,5663,唐,清開一唐平,倉,七,崗,,,,清開三真入,見開一唐平,,,840,,七崗反.四.,
793,5668,唐,見開一唐平,剛,古,郎,,,,見一模上,來開一唐平,,,841,,強.古郎反.九.,
794,5680,唐,心開一唐平,桑,息,郎,,,,心開三蒸入,來開一唐平,,,842,,息郎反.二.,
795,5686,唐,溪開一唐平,康,苦,崗,,,,溪一模上,見開一唐平,,,843,,苦崗反.四.,
796,5697,唐,曉合一唐平,荒,呼,光,,,,曉一模平,見合一唐平,,,844,,呼光反.四.,
797,5710,唐,匣合一唐平,黄,胡,光,,,,匣一模平,見合一唐平,,,845,,胡光反.廿.,胡光反.二十一.
798,5740,唐,見合一唐平,光,古,皇,,,,見一模上,匣合一唐平,,,846,,古皇反.七.,
799,5751,唐,透開一唐平,湯,吐,郎,,,,透一模上,來開一唐平,,,847,,吐郎反.三.,
800,5758,唐,滂一唐平,滂,普,郎,,,,滂一模上,來開一唐平,,,848,,普郎反.三.,
801,5764,唐,影合一唐平,汪,烏,光,,,,影一模平,見合一唐平,,,849,,烏光反.三.,
802,5769,唐,影開一唐平,鴦,烏,郎,,,,影一模平,來開一唐平,,,850,,鴛鴦.烏郎反.二.,
803,5775,唐,曉開一唐平,炕,呼,郎,,,,曉一模平,來開一唐平,,,851,,煮胘.呼郎反.二.,煑胘.呼郎反.二.
804,5777,唐,匣開一唐平,航,胡,郎,,,,匣一模平,來開一唐平,,,852,,舩.胡郎反.九.,船.胡郎反.九.
805,5792,唐,明一唐平,茫,莫,郎,,,,明一唐入,來開一唐平,,,853,,滄茫.莫郎反.六.,
806,5804,唐,精開一唐平,臧,則,郎,,,,精開一登入,來開一唐平,,,854,,則郎反.三.,
807,5809,唐,泥開一唐平,囊,奴,當,,,,泥一模平,端開一唐平,,,855,,袋.奴當反.一.,
808,5811,唐,並一唐平,傍,步,光,,,,並一模去,見合一唐平,,,856,,步光反.五.,
809,5820,唐,疑開一唐平,卬,五,崗,,,,疑一模上,見開一唐平,,,857,,髙.五崗反.五.,
810,5826,唐,從開一唐平,藏,昨,郎,,,,從開一唐入,來開一唐平,,,858,,昨郎反.一.,
811,5827,唐,溪合一唐平,䯑,苦,光,,,,溪一模上,見合一唐平,,,859,,〻䯖.苦光反.一.,䯑䯖.苦光反.一.
812,5828,庚,見開二庚平,庚,古,行,,,,見一模上,匣開二庚平,,,861,,古行反.六.,
813,5836,庚,溪開二庚平,坑,客,行,,,,溪開二庚入,匣開二庚平,,,862,,坎.㦯作硎.客行反.一.,坎.或作硎.客行反.一.
814,5841,庚,明二庚平,盲,武,庚,,,,明三C虞上,見開二庚平,,,863,,武庚反.六.,
815,5849,庚,匣合二庚平,横,胡,盲,,,,匣一模平,明二庚平,,,864,,胡盲反.十.,
816,5864,庚,幫二庚平,閍,甫,盲,,,,幫三C虞上,明二庚平,,,865,,宫中門.一曰巷門.甫盲反.二.,
817,5868,庚,曉合二庚平,諻,虎,横,,,,曉一模上,匣合二庚平,,,866,,語聲.虎横反.一.,
818,5872,庚,見合二庚平,觥,古,横,,,,見一模上,匣合二庚平,,,867,,兕角為酒噐.古横反.一.,兕角為酒器.古横反.一.
819,5875,庚,並二庚平,彭,薄,庚,,,,並一唐入,見開二庚平,,,868,,薄庚反.九.,
820,5891,庚,曉開二庚平,脝,許,庚,,,,曉開三C魚上,見開二庚平,,,869,,膨脝.許庚反.二.,
821,5895,庚,徹開二庚平,瞠,丑,庚,,,,徹三尤上,見開二庚平,,,870,,直視.丑庚反.二.,
822,5898,庚,初開二庚平,鐺,楚,庚,,,,初開三魚上,見開二庚平,,,871,,〻鼎.楚庚反.二.,鎗鼎.楚庚反.二.
823,5901,庚,崇開二庚平,傖,助,庚,,,,崇開三魚去,見開二庚平,,,872,,〻楚.助庚反.三.,傖楚.助庚反.三.
824,5906,庚,影開三B庚平,霙,扵,驚,,,,影開三C魚平,見開三B庚平,,,873,,雨雪雜.扵驚反.六.,
825,5914,庚,滂二庚平,磅,撫,庚,,,,滂三C虞上,見開二庚平,,,874,,小石落聲.撫庚反.三.,
826,5920,庚,並三B庚平,平,符,兵,,,,並三C虞平,幫三B庚平,,,875,,符兵反.四.,
827,5927,庚,見開三B庚平,驚,舉,卿,九,,,見開三C魚上,溪開三B庚平,見三C尤上,,876,,舉卿反.四.,九卿反.四.
828,5933,庚,明三B庚平,眀,武,兵,,,,明三C虞上,幫三B庚平,,,877,,武兵反.四.,
829,5937,庚,澄開二庚平,棖,直,庚,,,,澄開三蒸入,見開二庚平,,,878,,門傍木.直庚反.四.,
830,5944,庚,知開二庚平,趟,竹,盲,,,,知三東入,明二庚平,,,879,,䞴趟𨁓躍.竹盲反.䞴字張交反.一.,䞴趟跳躍.竹盲反.䞴字張交反.一.
831,5946,庚,云合三B庚平,榮,永,兵,,,,云合三B庚上,幫三B庚平,,,880,,永兵反.四.,
832,5952,庚,幫三B庚平,兵,甫,榮,,,,幫三C虞上,云合三B庚平,,,881,,甫榮反.一.,
833,5953,庚,曉合三B庚平,兄,許,榮,,,,曉開三C魚上,云合三B庚平,,,882,,許榮反.一.,
834,5954,庚,溪開三B庚平,卿,去,京,,,,溪開三C魚去,見開三B庚平,,,883,,去京反.一.,
835,5955,庚,生開三庚平,生,所,京,,,,生開三魚上,見開三B庚平,,,884,,所京反.六.,
836,5962,庚,羣開三B庚平,擎,渠,京,,,,羣開三C魚平,見開三B庚平,,,885,,舉.渠京反.八.,
837,5970,庚,疑開三B庚平,迎,語,京,,,,疑開三C魚上,見開三B庚平,,,886,,語京反.一.,
838,5971,庚,匣開二庚平,行,戸,庚,,,,匣一模上,見開二庚平,,,887,,戸庚反.六.,戸庚反.又戸孟反.六.
839,5980,庚,孃開二庚平,鬤,乃,庚,,,,泥開一咍上,見開二庚平,,,888,,乃庚反.二.,
840,5985,耕,見開二耕平,耕,古,莖,,,,見一模上,匣開二耕平,,,889,,犁.古莖反.一.,犂.古莖反.一.
841,5986,耕,溪開二耕平,鏗,口,莖,,,,溪一侯上,匣開二耕平,,,890,,〻鏘.口莖反.五.,鏗鏘.口莖反.五.
842,6000,耕,明二耕平,甍,莫,耕,,,,明一唐入,見開二耕平,,,891,,屋棟.莫耕反.五.,
843,6010,耕,匣合二耕平,宏,戸,氓,,,,匣一模上,明二耕平,,,893,,大.戸氓反.八.,
844,6024,耕,匣開二耕平,莖,戸,耕,,,,匣一模上,見開二耕平,,,894,,草木幹.戸耕反.二.,
845,6028,耕,知開二耕平,朾,中,莖,,,,知三東平,匣開二耕平,,,895,,伐木聲.中莖反.二.,
846,6031,耕,影開二耕平,甖,烏,莖,,,,影一模平,匣開二耕平,,,896,,瓦噐.㦯作罃.烏莖反.七.,瓦器.或作罃.烏莖反.七.
847,6042,耕,崇開二耕平,崢,士,耕,,,,崇開三之上,見開二耕平,,,897,,〻嶸山峻.士耕反.三.,崢嶸山峻.士耕反.三.
848,6045,耕,初開二耕平,琤,楚,莖,,,,初開三魚上,匣開二耕平,,,898,,玉聲.楚莖反.二.,
849,6049,耕,孃開二耕平,儜,女,耕,,,,孃開三魚上,見開二耕平,,,899,,困.女耕反.四.,
850,6055,耕,滂二耕平,怦,普,耕,,,,滂一模上,見開二耕平,,,900,,心急.普耕反.六.,
851,6065,耕,曉合二耕平,轟,呼,宏,,,,曉一模平,匣合二耕平,,,901,,車聲.呼宏反.五.,
852,6075,耕,幫二耕平,繃,甫,萌,,,,幫三C虞上,明二耕平,,,902,,束兒衣.墨子曰葛以繃之.甫萌反.二.,束𠒇衣.墨子曰葛以繃之.甫萌反.二.
853,6078,耕,澄開二耕平,橙,直,耕,,,,澄開三蒸入,見開二耕平,,,903,,柚属.直耕反.三.,柚屬.直耕反.三.
854,6087,耕,影合二耕平,泓,烏,宏,,,,影一模平,匣合二耕平,,,904,,水深.烏宏反.三.,
855,6090,耕,並二耕平,輣,扶,萌,,,,並三C虞平,明二耕平,,,905,,兵車.扶萌反.二.,
856,6095,耕,疑開二耕平,娙,五,莖,,,,疑一模上,匣開二耕平,,,906,,身長好㒵.漢武帝夫人名娙娥.五莖反.一.,身長好皃.漢武帝夫人名娙娥.五莖反.一.
857,6097,耕,莊開二耕平,爭,側,莖,,,,莊開三蒸入,匣開二耕平,,,907,,側莖反.四.,
858,6103,清,清開三清平,清,七,精,,,,清開三真入,精開三清平,,,908,,七精反.二.,
859,6106,清,從開三清平,情,疾,盈,,,,從開三真入,以開三清平,,,909,,疾盈反.三.,
860,6111,清,精開三清平,精,子,情,,,,精開三之上,從開三清平,,,910,,子情反.九.,
861,6124,清,以開三清平,盈,以,成,,,,以開三之上,常開三清平,,,911,,以成反.八.,
862,6134,清,以合三清平,營,余,傾,,,,以開三魚平,溪合三A清平,,,912,,余傾反.三.,
863,6138,清,影開三A清平,嬰,扵,盈,,,,影開三C魚平,以開三清平,,,913,,〻兒.扵盈反.三.,嬰𠒇.扵盈反.三.
864,6144,清,知開三清平,貞,陟,盈,,,,知開三蒸入,以開三清平,,,914,,陟盈反.四.,
865,6151,清,徹開三清平,檉,勑,貞,,,,徹開三蒸入,知開三清平,,,915,,木名.勑貞反.五.,
866,6158,清,常開三清平,成,市,征,,,,常開三之上,章開三清平,,,916,,市征反.六.,市征反.七.
867,6167,清,澄開三清平,呈,直,貞,,,,澄開三蒸入,知開三清平,,,917,,直貞反.六.,
868,6173,清,書開三清平,聲,書,盈,,,,書開三魚平,以開三清平,,,918,,書盈反.一.,
869,6175,清,章開三清平,佂,諸,盈,,,,章開三魚平,以開三清平,,,919,,諸盈反.六.,
870,6181,清,溪開三A清平,輕,去,盈,,,,溪開三C魚去,以開三清平,,,920,,去盈反.三.,
871,6184,清,明三A清平,名,武,并,,,,明三C虞上,幫三A清平,,,921,,武并反.二.,
872,6186,清,來開三清平,跉,吕,貞,,,,來開三魚上,知開三清平,,,922,,〻䟓.吕貞反.二.,跉䟓.吕貞反.二.
873,6188,清,幫三A清平,并,府,盈,,,,幫三C虞上,以開三清平,,,923,,府盈反.三.,
874,6191,清,溪合三A清平,傾,去,營,,,,溪開三C魚去,以合三清平,,,924,,𣅔.去營反.一.,
875,6192,清,邪開三清平,餳,徐,盈,,,,邪開三魚平,以開三清平,,,925,,飴.徐盈反.一.,
876,6193,清,影合三A清平,縈,扵,營,,,,影開三C魚平,以合三清平,,,926,,繞.扵營反.五.,
877,6198,清,羣合三A清平,瓊,渠,營,,,,羣開三C魚平,以合三清平,,,927,,玉名.渠營反.七.,
878,6211,清,心合三清平,騂,息,營,,,,心開三蒸入,以合三清平,,,928,,馬赤色.息營反.三.,
879,6215,清,羣開三A清平,頸,巨,成,,,,羣開三C魚上,常開三清平,,,929,,項.巨成反.又居郢反.三.,
880,6218,青,清開四青平,青,倉,經,,,,清開一唐平,見開四青平,,,931,,倉經反.一.,
881,6221,青,見開四青平,經,古,靈,,,,見一模上,來開四青平,,,932,,古靈反.二.,
882,6224,青,匣開四青平,形,戸,經,,,,匣一模上,見開四青平,,,933,,戸經反.八.,
883,6236,青,定開四青平,庭,特,丁,,,,定開一登入,端開四青平,,,934,,特丁反.十一.,
884,6257,青,端開四青平,丁,當,經,,,,端開一唐平,見開四青平,,,935,,當經反.二.,
885,6262,青,曉開四青平,馨,呼,刑,,,,曉一模平,匣開四青平,,,936,,呼刑反.二.,
886,6265,青,心開四青平,星,桑,經,,,,心開一唐平,見開四青平,,,937,,桑經反.八.,
887,6275,青,滂四青平,竮,普,丁,,,,滂一模上,端開四青平,,,938,,竛竮行不正.㦯作俜.普丁反.二.,竛竮行不正.或作俜.普丁反.二.
888,6281,青,來開四青平,靈,郎,丁,,,,來開一唐平,端開四青平,,,939,,郎丁反.二十七.,郎丁反.二十八.
889,6329,青,泥開四青平,寧,奴,丁,,,,泥一模平,端開四青平,,,940,,奴丁反.一.,
890,6335,青,透開四青平,汀,他,丁,,,,透開一歌平,端開四青平,,,941,,水際平沙.他丁反.七.,水際平沙.他丁反.六.
891,6345,青,影開四青平,鯖,扵,刑,,,,影開三C魚平,匣開四青平,,,30915,,魚青色頭有枕骨.扵刑反.一.,
892,6346,青,明四青平,冥,莫,經,,,,明一唐入,見開四青平,,,942,,暗.莫經反.九.,
893,6360,青,並四青平,瓶,薄,經,,,,並一唐入,見開四青平,,,943,,汲水噐.薄經反.十一.,汲水器.薄經反.十一.
894,6375,青,匣合四青平,熒,胡,丁,,,,匣一模平,端開四青平,,,944,,光.胡丁反.四.,
895,6381,青,見合四青平,扃,古,螢,,,,見一模上,匣合四青平,,,945,,戸外閇𨵿.古螢反.六.,戸外閉關.古螢反.六.
896,6391,尤,云三C尤平,尤,雨,求,,,,云合三C虞上,羣三C尤平,,,986,,雨求反.七.,
897,6399,尤,影三C尤平,憂,扵,求,,,,影開三C魚平,羣三C尤平,,,987,,扵求反.十.,
898,6416,尤,來三尤平,劉,力,求,,,,來開三蒸入,羣三C尤平,,,988,,力求反.十八.,
899,6448,尤,清三尤平,秋,七,遊,,,,清開三真入,以三尤平,,,989,,七遊反.六.,
