反切字,音韻地位
客,溪開二庚入
宣,心合三仙平
宰,精開一咍上
宵,心開三宵平
容,以三鍾平
寄,見開三B支去
密,明三B真入
富,幫三C尤去
寒,匣開一寒平
寔,常開三蒸入
寡,見合二麻上
實,船開三真入
封,幫三C鍾平
將,精開三陽平
專,章合三仙平
尊,精合一魂平
尋,邪開三侵平
對,端合一灰去
導,定開一豪去
小,心開三宵上
少,書開三宵上
尓,日開三支上
尤,云三C尤平
就,從三尤去
尹,以合三真上
尺,昌開三清入
尼,孃開三脂平
尾,明三C微上
居,見開三C魚平
屑,心開四先入
展,知開三仙上
履,來開三脂上
屯,知合三真平
山,生開二山平
岑,崇開三侵平
峻,心合三真去
崗,見開一唐平
崩,幫一登平
嵆,匣開四齊平
嶽,疑二江入
川,昌合三仙平
巧,溪開二肴上
巨,羣開三C魚上
巴,幫二麻平
巷,匣二江去
巾,見開三B真平
市,常開三之上
布,幫一模去
希,曉開三C微平
帝,端開四齊去
帶,端開一泰去
常,常開三陽平
幰,曉開三C元上
干,見開一寒平
平,並三B庚平
年,泥開四先平
并,幫三A清平
幸,匣開二耕上
幺,影開四蕭平
幼,影開三A幽去
幽,影開三A幽平
店,端開四添去
庚,見開二庚平
府,幫三C虞上
度,定一模去
康,溪開一唐平
庾,以合三虞上
庿,明三B宵去
廁,初開三之去
廉,來開三鹽平
廢,幫三C廢去
廣,見合一唐上
延,以開三仙平
建,見開三C元去
弄,來一東去
弊,並三A祭去
弋,以開三蒸入
式,書開三蒸入
弔,端開四蕭去
引,以開三真上
弗,幫三C文入
弘,匣合一登平
弟,定開四齊上
弥,明三A支平
弭,明三A支上
張,知開三陽平
強,羣開三C陽平
彦,疑開三B仙去
彪,幫三B幽平
彫,端開四蕭平
影,影開三B庚上
役,以合三清入
彼,幫三B支上
往,云合三C陽上
征,章開三清平
徂,從一模平
待,定開一咍上
律,來合三真入
徐,邪開三魚平
徑,見開四青去
徒,定一模平
得,端開一登入
御,疑開三C魚去
德,端開一登入
心,心開三侵平
必,幫三A真入
忍,日開三真上
忖,清合一魂上
志,章開三之去
忝,透開四添上
快,溪合二夬去
念,泥開四添去
忽,曉合一魂入
怗,透開四添入
思,心開三之平
急,見開三B侵入
怨,影合三C元去
怪,見合二皆去
怯,溪開三C嚴入
恒,匣開一登平
恢,溪合一灰平
恤,心合三真入
恥,徹開三之上
恨,匣開一痕去
恩,影開一痕平
恪,溪開一唐入
恬,定開四添平
恭,見三C鍾平
息,心開三蒸入
恱,以合三仙入
悉,心開三真入
悚,心三鍾上
患,匣合二刪去
悲,幫三B脂平
悶,明一魂去
悸,羣合三A脂去
情,從開三清平
惙,知合三仙入
惠,匣合四齊去
惻,初開三蒸入
愁,崇三尤平
愚,疑合三C虞平
愛,影開一咍去
感,見開一覃上
愧,見合三B脂去
愷,溪開一咍上
慈,從開三之平
慕,明一模去
慙,從開一談平
慣,見合二刪去
慮,來開三魚去
憂,影三C尤平
