頁,行,音韻地位描述,聲調,韻目,序数,小韻,音類,字頭,釋義
1,1,端一東平,平,東,1,1,端1,東,徳紅反.二.
1,3,端一東平,平,東,3,1,端1,涷,水名.
1,5,定一東平,平,東,5,2,定1,同,徒紅反.十六.
1,6,定一東平,平,東,6,2,定1,童,古作僕今為童子.
1,7,定一東平,平,東,7,2,定1,僮,古作童子今為僕.
1,8,定一東平,平,東,8,2,定1,銅,.
1,9,定一東平,平,東,9,2,定1,桐,木名.又人姓.
1,10,定一東平,平,東,10,2,定1,峒,崆峒.
1,11,定一東平,平,東,11,2,定1,𧱁,獸名似豕出泰山.
1,12,定一東平,平,東,12,2,定1,硐,磨.
1,13,定一東平,平,東,13,2,定1,𦨴,船.
1,14,定一東平,平,東,14,2,定1,烔,烔烔熱皃.
1,15,定一東平,平,東,15,2,定1,曈,曈曨日欲明.
1,16,定一東平,平,東,16,2,定1,筒,竹名.
1,17,定一東平,平,東,17,2,定1,瞳,目子.
1,19,定一東平,平,東,19,2,定1,𤭁,瓦.
1,20,定一東平,平,東,20,2,定1,罿,車上網.又尺容反.
1,21,定一東平,平,東,21,2,定1,犝,牛無角.
1,29,知三東平,平,東,29,3,知3,中,陟隆反.又陟仲反.三.
1,30,知三東平,平,東,30,3,知3,衷,.
1,31,知三東平,平,東,31,3,知3,忠,.
1,33,澄三東平,平,東,33,4,澄3,蟲,直隆反.三.
1,34,澄三東平,平,東,34,4,澄3,沖,和.
1,35,澄三東平,平,東,35,4,澄3,种,稚.亦人姓.
1,40,章三東平,平,東,40,5,章3,終,職隆反.十.
1,41,章三東平,平,東,41,5,章3,衆,又之仲反.
1,42,章三東平,平,東,42,5,章3,泈,水名在襄陽.
1,43,章三東平,平,東,43,5,章3,潨,小水入大水.又在冬反.
1,44,章三東平,平,東,44,5,章3,𣧩,殁.
1,45,章三東平,平,東,45,5,章3,螽,.
1,46,章三東平,平,東,46,5,章3,𩅧,小雨.
1,47,章三東平,平,東,47,5,章3,鼨,豹文鼠.
1,48,章三東平,平,東,48,5,章3,蔠,蔠葵蘩露.
1,49,章三東平,平,東,49,5,章3,柊,木名.
1,53,徹三東平,平,東,53,6,徹3,忡,憂.勑中反.一.
1,55,崇三東平,平,東,55,7,崇3,崇,鋤隆反.二.
1,56,崇三東平,平,東,56,7,崇3,㓽,鍤屬.
1,57,心三東平,平,東,57,8,心3,嵩,息隆反.三.
2,1,心三東平,平,東,59,8,心3,娀,有娀契母.
2,2,心三東平,平,東,60,8,心3,菘,菜名.
2,3,日三東平,平,東,61,9,日3,戎,而隆反.四.
2,4,日三東平,平,東,62,9,日3,茙,蜀葵.
2,5,日三東平,平,東,63,9,日3,㭜,木名.
2,6,日三東平,平,東,64,9,日3,駥,八尺馬.
2,7,見三C東平,平,東,65,10,見3,弓,居隆反.四.
2,9,見三C東平,平,東,67,10,見3,躬,.
2,10,見三C東平,平,東,68,10,見3,宫,.
2,11,見三C東平,平,東,69,10,見3,㴦,縣名在酒泉.
2,12,以三東平,平,東,70,11,羊3,融,餘隆反.二.
2,13,以三東平,平,東,71,11,羊3,肜,祭名.又勑林反.
2,14,云三C東平,平,東,72,12,云3,雄,羽隆反.二.
2,15,云三C東平,平,東,73,12,云3,熊,獸.
2,16,明三C東平,平,東,74,13,明3,瞢,目不明.莫中反.三.
2,17,明三C東平,平,東,75,13,明3,夢,又武仲反.
2,18,明三C東平,平,東,76,13,明3,𨞯,邑名在曹.
2,21,溪三C東平,平,東,79,14,溪3,穹,去隆反.二.
2,22,溪三C東平,平,東,80,14,溪3,芎,芎藭.
2,25,羣三C東平,平,東,83,15,群3,窮,渠隆反.三.
2,26,羣三C東平,平,東,84,15,群3,藭,芎藭.
2,27,羣三C東平,平,東,85,15,群3,𥨪,羿所封邑.
2,28,並三C東平,平,東,86,16,奉3,馮,扶隆反.三.
2,29,並三C東平,平,東,87,16,奉3,汎,浮.又孚劔反.
2,30,並三C東平,平,東,88,16,奉3,芃,草皃.
2,33,幫三C東平,平,東,91,17,非3,風,方隆反.二.
2,34,幫三C東平,平,東,92,17,非3,楓,木名.
2,36,滂三C東平,平,東,94,18,敷3,豐,敷隆反.六.
2,37,滂三C東平,平,東,95,18,敷3,酆,邑名.
2,38,滂三C東平,平,東,96,18,敷3,蘴,蕪菁.
2,39,滂三C東平,平,東,97,18,敷3,灃,水名在咸陽.
2,40,滂三C東平,平,東,98,18,敷3,寷,大屋.
2,41,滂三C東平,平,東,99,18,敷3,麷,煮麥.
2,42,昌三東平,平,東,100,19,昌3,充,處隆反.三.
2,43,昌三東平,平,東,101,19,昌3,珫,珫耳.
2,44,昌三東平,平,東,102,19,昌3,茺,茺蔚草.
2,47,來三東平,平,東,105,20,來3,隆,力中反.三.
2,48,來三東平,平,東,106,20,來3,癃,病.
2,49,來三東平,平,東,107,20,來3,𪔴,鼓聲.
2,51,溪一東平,平,東,109,21,溪1,空,苦紅反.七.
2,52,溪一東平,平,東,110,21,溪1,箜,箜篌.
2,53,溪一東平,平,東,111,21,溪1,崆,崆峒山名.
2,54,溪一東平,平,東,112,21,溪1,硿,青色.
2,55,溪一東平,平,東,113,21,溪1,䅝,稻稈.
2,57,溪一東平,平,東,115,21,溪1,涳,涳濛.
2,58,溪一東平,平,東,116,21,溪1,埪,土埪.
3,2,見一東平,平,東,118,22,見1,公,古紅反.七.
3,3,見一東平,平,東,119,22,見1,功,.
3,4,見一東平,平,東,120,22,見1,工,.
3,5,見一東平,平,東,121,22,見1,疘,下病.
3,6,見一東平,平,東,122,22,見1,蚣,蜈蚣蟲.
3,7,見一東平,平,東,123,22,見1,玒,玉.
3,8,見一東平,平,東,124,22,見1,釭,車釭.又古雙反.
3,11,明一東平,平,東,127,23,明1,蒙,王女草.莫紅反.十一.
3,12,明一東平,平,東,128,23,明1,濛,小雨.
3,13,明一東平,平,東,129,23,明1,䑃,大皃.
3,15,明一東平,平,東,131,23,明1,矇,矇瞽.
3,16,明一東平,平,東,132,23,明1,艨,艨艟戰船.又武用反.
3,17,明一東平,平,東,133,23,明1,饛,盛食滿皃.
3,18,明一東平,平,東,134,23,明1,䰒,馬垂鬣.
3,19,明一東平,平,東,135,23,明1,𩦺,驢子.
3,20,明一東平,平,東,136,23,明1,檬,似槐黄葉.
3,21,明一東平,平,東,137,23,明1,䤓,麴生衣皃.
3,22,明一東平,平,東,138,23,明1,冡,覆.
3,29,來一東平,平,東,145,24,來1,籠,盧紅反.十四.
3,30,來一東平,平,東,146,24,來1,豅,大谷.
3,31,來一東平,平,東,147,24,來1,櫳,囚房.
3,32,來一東平,平,東,148,24,來1,曨,日欲明.
3,33,來一東平,平,東,149,24,來1,𡃡,大聲.
3,35,來一東平,平,東,151,24,來1,巃,巃嵸山高皃.
3,37,來一東平,平,東,153,24,來1,瓏,玲瓏.
3,38,來一東平,平,東,154,24,來1,龓,馬龓頭.
3,39,來一東平,平,東,155,24,來1,瀧,瀧涷沾漬.
3,40,來一東平,平,東,156,24,來1,聾,.
3,41,來一東平,平,東,157,24,來1,𨏠,軸頭.
3,42,來一東平,平,東,158,24,來1,礱,斲.
3,43,來一東平,平,東,159,24,來1,嚨,喉嚨.
3,44,來一東平,平,東,160,24,來1,䆍,黍䆍.
3,52,匣一東平,平,東,168,25,匣1,洪,胡籠反.十一.
3,53,匣一東平,平,東,169,25,匣1,訌,諠.
3,54,匣一東平,平,東,170,25,匣1,鉷,弩牙.
3,55,匣一東平,平,東,171,25,匣1,紅,.
3,56,匣一東平,平,東,172,25,匣1,虹,又古巷反.
3,57,匣一東平,平,東,173,25,匣1,鴻,.
3,58,匣一東平,平,東,174,25,匣1,葓,水草.
4,1,匣一東平,平,東,175,25,匣1,葒,草名.
4,2,匣一東平,平,東,176,25,匣1,仜,身肥大.
4,3,匣一東平,平,東,177,25,匣1,䜫,大壑.
4,4,匣一東平,平,東,178,25,匣1,䉺,赤米.
4,10,從一東平,平,東,184,26,從1,藂,古作䕺.徂紅反.一.
4,13,影一東平,平,東,187,27,影1,翁,烏紅反.三.
4,14,影一東平,平,東,188,27,影1,螉,蠮螉蟲.
4,15,影一東平,平,東,189,27,影1,䱵,魚名.
4,18,清一東平,平,東,192,28,清1,忩,古作悤.倉紅反.八.
4,19,清一東平,平,東,193,28,清1,䓗,.
4,20,清一東平,平,東,194,28,清1,棇,擔.
4,21,清一東平,平,東,195,28,清1,𨌪,檻車載囚.
4,22,清一東平,平,東,196,28,清1,聡,.
4,23,清一東平,平,東,197,28,清1,総,色青黄.又細絹.
4,24,清一東平,平,東,198,28,清1,𤥼,石似玉.
4,25,清一東平,平,東,199,28,清1,𩣭,馬色.
4,30,透一東平,平,東,204,29,透1,通,他紅反.四.
4,31,透一東平,平,東,205,29,透1,蓪,〻草藥名.
4,32,透一東平,平,東,206,29,透1,侗,大.
4,33,透一東平,平,東,207,29,透1,恫,痛.
4,34,精一東平,平,東,208,30,精1,葼,木細枝.子紅反.十二.
4,35,精一東平,平,東,209,30,精1,椶,栟櫚.
4,38,精一東平,平,東,212,30,精1,緵,縷.
4,39,精一東平,平,東,213,30,精1,嵸,巃嵸.
4,40,精一東平,平,東,214,30,精1,騣,馬騣.俗作𩣭.
4,41,精一東平,平,東,215,30,精1,鬷,釜屬.
4,42,精一東平,平,東,216,30,精1,嵕,九嵕山.
4,43,精一東平,平,東,217,30,精1,猣,犬生三子.
4,44,精一東平,平,東,218,30,精1,豵,豕生三子.
4,45,精一東平,平,東,219,30,精1,鯼,石首魚.
4,46,精一東平,平,東,220,30,精1,惾,惾滅.
4,47,精一東平,平,東,221,30,精1,㚇,飛而歛足.又則貢反.
4,55,並一東平,平,東,229,31,並1,蓬,薄紅反.三.
4,56,並一東平,平,東,230,31,並1,𥭗,車軬.
4,57,並一東平,平,東,231,31,並1,篷,織竹編箬以覆蓋船車.
5,6,曉一東平,平,東,238,32,曉1,烘,火皃.呼同反.二.
5,7,曉一東平,平,東,239,32,曉1,魟,河魚似鱉.
5,12,端一冬平,平,冬,244,1,端1,冬,都宗反.二.
5,13,端一冬平,平,冬,245,1,端1,苳,草名.
5,14,定一冬平,平,冬,246,2,定1,彤,赤.徒冬反.五.
5,15,定一冬平,平,冬,247,2,定1,疼,痛.
5,16,定一冬平,平,冬,248,2,定1,佟,姓.
5,17,定一冬平,平,冬,249,2,定1,炵,火盛皃.又他冬反.
5,19,定一冬平,平,冬,251,2,定1,鼕,鼓聲.
5,31,從一冬平,平,冬,263,3,從1,賨,西域.在宗反.五.
5,32,從一冬平,平,冬,264,3,從1,琮,玉名.
5,33,從一冬平,平,冬,265,3,從1,悰,慮.一曰樂.
5,34,從一冬平,平,冬,266,3,從1,潨,小水入大水.又職隆反.
5,35,從一冬平,平,冬,267,3,從1,淙,水聲.
5,39,泥一冬平,平,冬,271,4,泥1,農,奴冬反.三.
5,41,泥一冬平,平,冬,273,4,泥1,膿,血.
5,42,泥一冬平,平,冬,274,4,泥1,儂,我.
5,44,見三C鍾平,平,冬,276,5,見3,恭,駒冬反.四.
5,45,見三C鍾平,平,冬,277,5,見3,龔,.
5,46,見三C鍾平,平,冬,278,5,見3,供,.
5,47,見三C鍾平,平,冬,279,5,見3,珙,璧.
5,51,心三鍾平,平,冬,283,6,心3,蜙,蜙蝑蟲.先恭反.二.
5,52,心三鍾平,平,冬,284,6,心3,淞,水名出呉郡.
5,56,清三鍾平,平,冬,288,7,清3,樅,木名.七恭反.二.
5,57,清三鍾平,平,冬,289,7,清3,鏦,短矛.
6,3,見一冬平,平,冬,293,8,見1,攻,伐.古冬反.一.
6,6,匣一冬平,平,冬,296,9,匣1,䃔,䃔䃧石落聲.戸冬反.一.
6,10,來一冬平,平,冬,300,10,來1,䃧,力宗反.一.
6,12,精一冬平,平,冬,302,11,精1,宗,作琮反.一.
6,16,章三鍾平,平,鍾,306,1,章3,鍾,酒器.職容反.八.
6,17,章三鍾平,平,鍾,307,1,章3,鐘,樂器.
6,18,章三鍾平,平,鍾,308,1,章3,蚣,蟲名.
6,19,章三鍾平,平,鍾,309,1,章3,忪,心動.
6,20,章三鍾平,平,鍾,310,1,章3,䇗,長節竹.
6,21,章三鍾平,平,鍾,311,1,章3,彸,征彸行皃.
6,22,章三鍾平,平,鍾,312,1,章3,妐,夫兄.
6,23,章三鍾平,平,鍾,313,1,章3,衳,小褌.
6,28,來三鍾平,平,鍾,318,2,來3,龍,力鍾反.四.
6,29,來三鍾平,平,鍾,319,2,來3,瓏,圭為龍文.
6,30,來三鍾平,平,鍾,320,2,來3,躘,躘蹱小𠒇行皃.
6,31,來三鍾平,平,鍾,321,2,來3,鸗,鳥名.
6,37,書三鍾平,平,鍾,327,3,書3,舂,書容反.五.
6,38,書三鍾平,平,鍾,328,3,書3,樁,樁撞.
6,39,書三鍾平,平,鍾,329,3,書3,蹖,蹋.
6,40,書三鍾平,平,鍾,330,3,書3,𪄻,𪇆𪄻鳥名.
6,41,書三鍾平,平,鍾,331,3,書3,𧐍,𧐍蝑.
6,44,邪三鍾平,平,鍾,334,4,邪3,松,詳容反.二.
6,46,邪三鍾平,平,鍾,336,4,邪3,訟,又徐用反.
6,48,昌三鍾平,平,鍾,338,5,昌3,𧘂,尺容反.五.
6,50,昌三鍾平,平,鍾,340,5,昌3,罿,網.
6,51,昌三鍾平,平,鍾,341,5,昌3,憧,往來皃.
6,52,昌三鍾平,平,鍾,342,5,昌3,䡴,陷陣車.
6,53,昌三鍾平,平,鍾,343,5,昌3,艟,戰船.
6,58,以三鍾平,平,鍾,348,6,羊3,容,餘封反.十四.
7,1,以三鍾平,平,鍾,349,6,羊3,溶,水皃.
7,2,以三鍾平,平,鍾,350,6,羊3,滽,水名出宜蘇山.
7,3,以三鍾平,平,鍾,351,6,羊3,庸,.
7,5,以三鍾平,平,鍾,353,6,羊3,墉,垣.
7,6,以三鍾平,平,鍾,354,6,羊3,𤛑,似牛領有肉.
7,8,以三鍾平,平,鍾,356,6,羊3,鎔,鎔鑄.
7,9,以三鍾平,平,鍾,357,6,羊3,鏞,大鍾.
7,10,以三鍾平,平,鍾,358,6,羊3,鄘,國名.
7,11,以三鍾平,平,鍾,359,6,羊3,傭,傭賃.又丑凶反.
7,12,以三鍾平,平,鍾,360,6,羊3,𪅟,鳥名.
7,13,以三鍾平,平,鍾,361,6,羊3,㼸,甖.
7,14,以三鍾平,平,鍾,362,6,羊3,鱅,魚名.
7,15,以三鍾平,平,鍾,363,6,羊3,蓉,芙蓉.
7,23,幫三C鍾平,平,鍾,371,7,非3,封,府容反.二.
7,25,幫三C鍾平,平,鍾,373,7,非3,犎,野牛.
7,26,曉三C鍾平,平,鍾,374,8,曉3,胷,許容反.七.
7,27,曉三C鍾平,平,鍾,375,8,曉3,凶,.
7,28,曉三C鍾平,平,鍾,376,8,曉3,銎,柄孔.
7,29,曉三C鍾平,平,鍾,377,8,曉3,洶,水勢.
7,30,曉三C鍾平,平,鍾,378,8,曉3,恟,懼.
7,31,曉三C鍾平,平,鍾,379,8,曉3,兇,惡.
7,32,曉三C鍾平,平,鍾,380,8,曉3,訩,衆語.
7,34,疑三C鍾平,平,鍾,382,9,疑3,顒,魚容反.三.
7,35,疑三C鍾平,平,鍾,383,9,疑3,鰅,魚名.
7,36,疑三C鍾平,平,鍾,384,9,疑3,喁,噞喁.
7,37,影三C鍾平,平,鍾,385,10,影3,邕,於容反.十一.
7,38,影三C鍾平,平,鍾,386,10,影3,雍,.
7,39,影三C鍾平,平,鍾,387,10,影3,噰,鳥鳴.
7,40,影三C鍾平,平,鍾,388,10,影3,郺,郺𨑊多皃.
7,41,影三C鍾平,平,鍾,389,10,影3,澭,水名在宋.又以隹反.
7,42,影三C鍾平,平,鍾,390,10,影3,罋,汲器.
7,43,影三C鍾平,平,鍾,391,10,影3,廱,辟廱.
7,44,影三C鍾平,平,鍾,392,10,影3,饔,熟食.
7,45,影三C鍾平,平,鍾,393,10,影3,𪄉,𪄉𪆂鳥名.
7,46,影三C鍾平,平,鍾,394,10,影3,癰,癰疽.
7,47,影三C鍾平,平,鍾,395,10,影3,壅,塞.又於隴反.
7,49,孃三鍾平,平,鍾,397,11,娘3,醲,厚酒.女容反.四.
7,50,孃三鍾平,平,鍾,398,11,娘3,𨑊,郺𨑊.
7,51,孃三鍾平,平,鍾,399,11,娘3,濃,厚.
7,53,孃三鍾平,平,鍾,401,11,娘3,穠,花皃.又穠華字.又而容反.
7,54,澄三鍾平,平,鍾,402,12,澄3,重,治容反.二.
7,55,澄三鍾平,平,鍾,403,12,澄3,穜,晩熟.
8,2,從三鍾平,平,鍾,408,13,從3,從,疾容反.一.
8,5,徹三鍾平,平,鍾,411,14,徹3,蹱,躘蹱.丑凶反.二.
8,6,徹三鍾平,平,鍾,412,14,徹3,傭,均直.
8,9,並三C鍾平,平,鍾,415,15,奉3,逢,符容反.三.
8,10,並三C鍾平,平,鍾,416,15,奉3,縫,紩.
8,11,並三C鍾平,平,鍾,417,15,奉3,漨,水名.
8,15,滂三C鍾平,平,鍾,421,16,敷3,峯,敷容反.九.
8,16,滂三C鍾平,平,鍾,422,16,敷3,鋒,刃端.
8,17,滂三C鍾平,平,鍾,423,16,敷3,丰,丰茸.又扶風反.
8,18,滂三C鍾平,平,鍾,424,16,敷3,妦,好.
8,19,滂三C鍾平,平,鍾,425,16,敷3,蜂,.
8,20,滂三C鍾平,平,鍾,426,16,敷3,蘴,菜.又敷隆反.
8,21,滂三C鍾平,平,鍾,427,16,敷3,桻,木上.一云木名.
8,22,滂三C鍾平,平,鍾,428,16,敷3,夆,甹夆掣曳.甹字普經反.
8,24,滂三C鍾平,平,鍾,430,16,敷3,烽,火.
8,27,精三鍾平,平,鍾,433,17,精3,縱,縱横.即容反.又子用反.三.
8,28,精三鍾平,平,鍾,434,17,精3,蹤,迹.
8,29,精三鍾平,平,鍾,435,17,精3,䡮,車迹.
8,33,日三鍾平,平,鍾,439,18,日3,茸,草生皃.而容反.五.
8,34,日三鍾平,平,鍾,440,18,日3,䩸,毳飾.
8,35,日三鍾平,平,鍾,441,18,日3,髶,髮多.
8,36,日三鍾平,平,鍾,442,18,日3,䇯,竹頭有文.
8,37,日三鍾平,平,鍾,443,18,日3,穠,花皃.
8,41,羣三C鍾平,平,鍾,447,19,群3,蛩,蛩蛩.渠容反.六.
8,42,羣三C鍾平,平,鍾,448,19,群3,邛,臨邛縣名.
8,43,羣三C鍾平,平,鍾,449,19,群3,舼,小船.
8,44,羣三C鍾平,平,鍾,450,19,群3,筇,竹.
8,45,羣三C鍾平,平,鍾,451,19,群3,輁,軸所以支棺.
8,46,羣三C鍾平,平,鍾,452,19,群3,𦭭,蓂莢實.
8,55,常三鍾平,平,鍾,461,20,常3,鱅,魚名.蜀容反.二.
8,56,常三鍾平,平,鍾,462,20,常3,慵,嬾.
9,2,見二江平,平,江,466,1,見2,江,古雙反.五.
9,3,見二江平,平,江,467,1,見2,扛,擧鼎.
9,4,見二江平,平,江,468,1,見2,杠,旌旗飾.一曰牀前横.
9,5,見二江平,平,江,469,1,見2,茳,茳蘺.
9,6,見二江平,平,江,470,1,見2,釭,燈.又古紅反.
9,9,明二江平,平,江,473,2,明2,庬,厚大.莫江反.六.
9,10,明二江平,平,江,474,2,明2,駹,黑馬白面.
9,11,明二江平,平,江,475,2,明2,狵,犬.
9,13,明二江平,平,江,477,2,明2,浝,水名.
9,14,明二江平,平,江,478,2,明2,哤,語雜亂曰哤.
9,15,明二江平,平,江,479,2,明2,牻,牛白黑雜.
9,21,孃二江平,平,江,485,3,娘2,𦗳,耳中聲.女江反.二.
9,22,孃二江平,平,江,486,3,娘2,𣰊,髮多.
9,25,初二江平,平,江,489,4,初2,䆫,楚江反.三.
9,26,初二江平,平,江,490,4,初2,䎫,䎫種.
9,27,初二江平,平,江,491,4,初2,摐,打鍾鼓.
9,31,幫二江平,平,江,495,5,幫2,邦,博江反.一.
9,33,匣二江平,平,江,497,6,匣2,栙,栙䉶帆.下江反.四.
9,34,匣二江平,平,江,498,6,匣2,䜶,䜶䝄胡豆.
9,35,匣二江平,平,江,499,6,匣2,降,降伏.又古巷反.
9,36,匣二江平,平,江,500,6,匣2,缸,甖類.
9,38,滂二江平,平,江,502,7,滂2,胮,胮脹.匹江反.二.
9,39,滂二江平,平,江,503,7,滂2,𩐨,鼓聲.
9,41,來二江平,平,江,505,8,來2,瀧,南人名湍.吕江反.一.
9,42,生二江平,平,江,506,9,生2,雙,所江反.四.
9,44,生二江平,平,江,508,9,生2,䉶,帆.
9,45,生二江平,平,江,509,9,生2,䝄,豆.
9,46,生二江平,平,江,510,9,生2,𢥠,左傳駟氏𢥠.
9,47,並二江平,平,江,511,10,並2,龐,薄江反.二.
9,48,並二江平,平,江,512,10,並2,胮,胮肛大脹.
9,50,曉二江平,平,江,514,11,曉2,肛,許江反.一.
9,53,溪二江平,平,江,517,12,溪2,腔,羊腔.苦江反.五.
9,54,溪二江平,平,江,518,12,溪2,控,打.
9,55,溪二江平,平,江,519,12,溪2,悾,信皃.
9,56,溪二江平,平,江,520,12,溪2,跫,蹋地聲.
9,57,溪二江平,平,江,521,12,溪2,涳,直流.
10,1,澄二江平,平,江,523,13,澄2,幢,旛幢.宅江反.三.
10,2,澄二江平,平,江,524,13,澄2,橦,木名.又徒東反.花可為布.
10,3,澄二江平,平,江,525,13,澄2,撞,撞突.
10,4,徹二江平,平,江,526,14,徹2,憃,愚.丑江反.又丑龍丑用二反.二.
10,5,徹二江平,平,江,527,14,徹2,䚎,直視目不明.
10,6,知二江平,平,江,528,15,知2,樁,橛.都江反.一.
10,7,章開三支平,平,支,529,1,章3開,支,章移反.九.
10,9,章開三支平,平,支,531,1,章3開,巵,酒器.
10,10,章開三支平,平,支,532,1,章3開,枝,.
10,11,章開三支平,平,支,533,1,章3開,㽻,病.
10,12,章開三支平,平,支,534,1,章3開,秖,適.又巨支反.
10,13,章開三支平,平,支,535,1,章3開,衼,衹衼.
10,14,章開三支平,平,支,536,1,章3開,肢,體.
10,15,章開三支平,平,支,537,1,章3開,梔,梔子木蘭.
10,16,章開三支平,平,支,538,1,章3開,禔,福.
10,27,以開三支平,平,支,549,2,羊3開,移,弋支反.十.
10,31,以開三支平,平,支,553,2,羊3開,暆,東暆縣在樂浪.
10,32,以開三支平,平,支,554,2,羊3開,迤,逶迤.
10,33,以開三支平,平,支,555,2,羊3開,𤝻,獸名似犬見則有大兵.
10,34,以開三支平,平,支,556,2,羊3開,栘,枎栘木名.
10,35,以開三支平,平,支,557,2,羊3開,擨,擨歈手相弄.又以遮反.歈字以周反.
10,36,以開三支平,平,支,558,2,羊3開,酏,酒汁.
10,37,以開三支平,平,支,559,2,羊3開,匜,杯匜似桸.又羊反反.
10,39,以開三支平,平,支,561,2,羊3開,椸,衣架.
10,40,以開三支平,平,支,562,2,羊3開,栘,加.
10,54,云合三B支平,平,支,576,3,云3合,爲,薳支反.又薳僞反.二.
10,55,云合三B支平,平,支,577,3,云3合,潙,水名出新陽.
10,58,見合三B支平,平,支,580,4,見B合,嬀,姓.居爲反.一.
11,3,曉合三B支平,平,支,583,5,曉B合,麾,許爲反.三.
11,4,曉合三B支平,平,支,584,5,曉B合,撝,謙.
11,5,曉合三B支平,平,支,585,5,曉B合,噅,口不正.
11,8,影合三B支平,平,支,588,6,影B合,逶,於爲反.五.
11,9,影合三B支平,平,支,589,6,影B合,𣨙,枯死.
11,10,影合三B支平,平,支,590,6,影B合,萎,.
11,11,影合三B支平,平,支,591,6,影B合,㮃,田器.
11,12,影合三B支平,平,支,592,6,影B合,覣,好視.
11,18,明三B支平,平,支,598,7,明B,糜,糜粥.靡爲反.四.
11,19,明三B支平,平,支,599,7,明B,𪎭,穄.
11,20,明三B支平,平,支,600,7,明B,縻,縻爵.
11,21,明三B支平,平,支,601,7,明B,㸏,㸏爛.
11,28,曉合三A支平,平,支,608,8,曉A合,隳,毀.許規反.三.
11,29,曉合三A支平,平,支,609,8,曉A合,眭,眭盱健皃.盱字旭俱反.
11,30,曉合三A支平,平,支,610,8,曉A合,觿,角錐童子佩之.
11,34,澄合三支平,平,支,614,9,澄3合,鬌,髮落.直垂反.二.
11,35,澄合三支平,平,支,615,9,澄3合,錘,八銖.又馳僞反.
11,37,常合三支平,平,支,617,10,常3合,垂,是爲反.三.
11,38,常合三支平,平,支,618,10,常3合,陲,邊.
11,39,常合三支平,平,支,619,10,常3合,倕,重.
11,44,來合三支平,平,支,624,11,來3合,羸,力爲反.一.
11,45,昌合三支平,平,支,625,12,昌3合,吹,昌爲反.又尺僞反.二.
11,46,昌合三支平,平,支,626,12,昌3合,炊,.
11,48,滂三B支平,平,支,628,13,滂B,鈹,普羈反.五.
11,49,滂三B支平,平,支,629,13,滂B,帔,又普髮反.
11,50,滂三B支平,平,支,630,13,滂B,鮍,魚名.
11,51,滂三B支平,平,支,631,13,滂B,披,.
11,52,滂三B支平,平,支,632,13,滂B,𤱍,耕.
11,56,幫三B支平,平,支,636,14,幫B,陂,彼爲反.四.
11,57,幫三B支平,平,支,637,14,幫B,詖,辯辝.
11,58,幫三B支平,平,支,638,14,幫B,𥓓,.
12,1,幫三B支平,平,支,639,14,幫B,羆,.
12,7,邪合三支平,平,支,645,15,邪3合,隨,旬爲反.二.
12,8,邪合三支平,平,支,646,15,邪3合,隋,國名.
12,11,溪合三B支平,平,支,649,16,溪B合,虧,去爲反.◇.
12,13,溪合三A支平,平,支,651,17,溪A合,闚,去隨反.一.
12,14,羣開三B支平,平,支,652,18,群B開,竒,渠羈反.又居宜反.六.
12,15,羣開三B支平,平,支,653,18,群B開,𤦺,玉名.
12,16,羣開三B支平,平,支,654,18,群B開,騎,跨馬.又竒寄反.
12,17,羣開三B支平,平,支,655,18,群B開,鵸,似烏三首六尾.
12,19,羣開三B支平,平,支,657,18,群B開,鬾,小𠒇鬼.
12,20,羣開三B支平,平,支,658,18,群B開,碕,曲岸.又巨機反.
12,25,羣開三A支平,平,支,663,19,群A開,祇,地神.巨支反.九.
12,26,羣開三A支平,平,支,664,19,群A開,衹,衹衼.
12,27,羣開三A支平,平,支,665,19,群A開,𢻏,弓鞕.
12,28,羣開三A支平,平,支,666,19,群A開,岐,山名.又渠羈反.
12,29,羣開三A支平,平,支,667,19,群A開,歧,歧路.
12,30,羣開三A支平,平,支,668,19,群A開,𨙸,邑.
12,31,羣開三A支平,平,支,669,19,群A開,馶,勁.
12,32,羣開三A支平,平,支,670,19,群A開,疧,病.詩云俾我疧兮.
12,34,羣開三A支平,平,支,672,19,群A開,𩉬,靷.
12,44,曉開三B支平,平,支,682,20,曉B開,犧,許羈反.八.
12,45,曉開三B支平,平,支,683,20,曉B開,羲,.
12,46,曉開三B支平,平,支,684,20,曉B開,曦,赫曦.
12,47,曉開三B支平,平,支,685,20,曉B開,焁,焁欨貪者見食皃.
12,48,曉開三B支平,平,支,686,20,曉B開,桸,杓.
12,49,曉開三B支平,平,支,687,20,曉B開,巇,險巇.
12,50,曉開三B支平,平,支,688,20,曉B開,羛,地名在魏.
12,51,曉開三B支平,平,支,689,20,曉B開,𤃪,水名在新豐.
13,1,溪開三B支平,平,支,697,21,溪B開,㩻,不正.去竒反.四.
13,2,溪開三B支平,平,支,698,21,溪B開,﨑,﨑嶇.
13,3,溪開三B支平,平,支,699,21,溪B開,觭,角一俯一仰.
13,4,溪開三B支平,平,支,700,21,溪B開,踦,脚跛.
13,14,疑開三B支平,平,支,710,22,疑B開,宜,魚羈反.五.
13,15,疑開三B支平,平,支,711,22,疑B開,儀,.
13,17,疑開三B支平,平,支,713,22,疑B開,䣡,地名在徐.
13,18,疑開三B支平,平,支,714,22,疑B開,䴊,鵕䴊.
13,19,疑開三B支平,平,支,715,22,疑B開,轙,車上環轡所貫.
13,20,並三B支平,平,支,716,23,並B,皮,符羈反.三.
